trial	count_a	lat_a	count_m	lat_m	scorer	xdat
*10261.20070615.1.32	-1	-1	1	250	ANDREW	
*10261.20070615.1.33	-1	-1	-1	-1	ANDREW	
*10261.20070615.1.34	-1	-1	1	150	ANDREW	
*10261.20070615.1.35	-1	-1	1	167	ANDREW	
*10261.20070615.1.36	-1	-1	1	167	ANDREW	
*10261.20070615.1.37	-1	-1	-1	-1	ANDREW	
*10261.20070615.1.38	-1	-1	-1	-1	ANDREW	
*10261.20070615.1.39	-1	-1	1	117	ANDREW	
*10261.20070615.1.40	-1	-1	1	183	ANDREW	
*10261.20070615.1.41	-1	-1	1	167	ANDREW	
*10261.20070615.1.42	-1	-1	1	150	ANDREW	
*10261.20070615.1.43	-1	-1	1	133	ANDREW	
*10261.20070615.1.44	-1	-1	1	167	ANDREW	
*10261.20070615.1.45	-1	-1	1	133	ANDREW	
*10261.20070615.1.46	-1	-1	1	167	ANDREW	
*10261.20070615.1.47	-1	-1	1	167	ANDREW	
*10261.20070615.1.48	-1	-1	1	117	ANDREW	
*10261.20060224.1.1	-1	-1	1	233	THERESA	
*10261.20060224.1.2	-1	-1	1	167	THERESA	
*10261.20060224.1.3	-1	-1	1	150	THERESA	
*10261.20060224.1.4	-1	-1	1	200	THERESA	
*10261.20060224.1.5	-1	-1	1	300	THERESA	
*10261.20060224.1.6	-1	-1	1	250	THERESA	
*10261.20060224.1.7	-1	-1	1	233	THERESA	
*10261.20060224.1.8	-1	-1	1	183	THERESA	
*10261.20060224.1.9	-1	-1	1	200	THERESA	
*10261.20060224.1.10	-1	-1	-1	-1	THERESA	
*10261.20060224.1.11	-1	-1	1	167	THERESA	
*10261.20060224.1.12	-1	-1	1	183	THERESA	
*10261.20060224.1.13	-1	-1	1	167	THERESA	
*10261.20060224.1.14	-1	-1	1	183	THERESA	
*10261.20060224.1.15	-1	-1	1	150	THERESA	
*10261.20060224.1.16	-1	-1	-1	-1	THERESA	
*10261.20060224.1.17	-1	-1	1	183	THERESA	
*10261.20060224.1.18	-1	-1	1	200	THERESA	
*10261.20060224.1.19	-1	-1	1	183	THERESA	
*10261.20060224.1.20	-1	-1	1	183	THERESA	
*10261.20060224.1.21	-1	-1	1	167	THERESA	
*10261.20060224.1.22	-1	-1	1	167	THERESA	
*10261.20060224.1.23	-1	-1	1	183	THERESA	
*10261.20060224.1.24	-1	-1	1	183	THERESA	
*10261.20060224.1.25	-1	-1	1	183	THERESA	
*10261.20060224.1.26	-1	-1	0	67	THERESA	
*10261.20060224.1.27	-1	-1	1	167	THERESA	
*10261.20060224.1.28	-1	-1	1	200	THERESA	
*10261.20060224.1.29	-1	-1	1	133	THERESA	
*10261.20060224.1.30	-1	-1	1	200	THERESA	
*10261.20060224.1.31	-1	-1	1	200	THERESA	
*10261.20060224.1.32	-1	-1	1	217	THERESA	
*10261.20060224.1.33	-1	-1	1	167	THERESA	
*10261.20060224.1.34	-1	-1	0	150	THERESA	
*10261.20060224.1.35	-1	-1	1	200	THERESA	
*10261.20060224.1.36	-1	-1	1	167	THERESA	
